INCIDENT_MONTH,TIME_OF_DAY,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,NUM_STRUCK,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,FAAREGION,STATE,SKY_CLEAN,Damage_Binary
1,Night,Arrival,Unknown,0 NM,American barn owl,Medium,1,A,4.0,D,2.0,AWP,HI,No Cloud,0
1,Dusk,Landing Roll,0-500 ft,0 NM,Plovers,Small,1,A,4.0,D,2.0,ASO,FL,Some Cloud,0
1,Night,Take-off Run,0-500 ft,0 NM,Mourning dove,Small,1,A,3.0,D,2.0,ASO,KY,Overcast,0
1,Day,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,1.0,A,1.0,ASW,LA,Some Cloud,0
2,Night,Approach,0-500 ft,0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,AWP,AZ,No Cloud,0
2,Day,Approach,0-500 ft,Unknown,Tree swallow,Small,1,A,4.0,D,2.0,ASO,FL,Overcast,0
2,Day,Approach,"501-1,500 ft",Unknown,Herring gull,Medium,1,A,4.0,D,2.0,AEA,NJ,Some Cloud,0
2,Night,Take-off Run,0-500 ft,0 NM,Striped skunk,Large,1,A,3.0,D,2.0,AEA,VA,Some Cloud,0
2,Dusk,Landing Roll,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
2,Night,Landing Roll,0-500 ft,0 NM,American barn owl,Medium,1,A,4.0,D,2.0,ANM,UT,Some Cloud,0
2,Dawn,Approach,"501-1,500 ft",0-5 NM,Sanderling,Small,1,A,5.0,D,2.0,AWP,CA,No Cloud,0
2,Day,Approach,Unknown,0-5 NM,Western meadowlark,Small,1,A,4.0,D,2.0,AWP,CA,No Cloud,1
2,Day,Landing Roll,0-500 ft,0 NM,American kestrel,Small,1,A,4.0,D,2.0,AGL,OH,Some Cloud,0
2,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird - medium,Medium,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,Western sandpiper,Small,2-10,A,4.0,D,2.0,AWP,CA,No Cloud,0
2,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird - medium,Medium,1,A,3.0,D,2.0,ASO,TN,Some Cloud,1
2,Day,Approach,0-500 ft,0 NM,Gulls,Medium,1,A,3.0,D,2.0,ANM,WA,Overcast,0
2,Night,Landing Roll,0-500 ft,0 NM,Short-eared owl,Small,1,A,4.0,D,2.0,ANM,UT,Overcast,0
2,Day,Landing Roll,0-500 ft,0 NM,Bald eagle,Large,1,A,3.0,D,2.0,ASO,FL,Some Cloud,0
2,Day,Approach,"3,501-10,000 ft",Unknown,Northern pintail,Medium,1,A,4.0,D,2.0,ASO,TN,Some Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,Horned lark,Small,2-10,A,4.0,D,3.0,ASO,TN,No Cloud,0
2,Dusk,Take-off Run,0-500 ft,0 NM,Mourning dove,Small,1,A,1.0,A,1.0,ASW,TX,No Cloud,0
2,Night,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,1,A,1.0,A,1.0,AWP,CA,No Cloud,1
2,Night,Landing Roll,0-500 ft,0 NM,American barn owl,Medium,1,A,4.0,D,2.0,ANM,OR,Overcast,0
2,Day,Approach,"501-1,500 ft",0-5 NM,Unknown bird - large,Large,1,A,4.0,D,2.0,FGN,FN,Some Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,Western cattle egret,Small,1,A,4.0,D,2.0,ASO,FL,Some Cloud,0
2,Day,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
2,Dawn,Approach,Unknown,Unknown,Mallard,Medium,1,A,4.0,D,2.0,AEA,PA,Unknown,0
2,Day,Landing Roll,0-500 ft,0 NM,Western cattle egret,Small,1,A,3.0,D,2.0,ASO,FL,Some Cloud,0
2,Day,Approach,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,AEA,DC,Overcast,0
2,Day,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,AWP,HI,Some Cloud,0
2,Day,Approach,"501-1,500 ft",0-5 NM,Bald eagle,Large,1,A,3.0,D,2.0,AGL,IL,Overcast,1
2,Day,Landing Roll,0-500 ft,0 NM,Savannah sparrow,Small,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
2,Night,Landing Roll,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,AEA,NY,Overcast,0
2,Night,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
2,Day,Approach,Unknown,Unknown,Killdeer,Small,1,A,4.0,D,2.0,ASO,FL,Some Cloud,0
2,Night,Approach,"1,501-3,500 ft",0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,Killdeer,Small,2-10,A,4.0,D,2.0,ASO,FL,Overcast,0
2,Day,Take-off Run,0-500 ft,0 NM,American robin,Small,1,A,4.0,D,2.0,AEA,VA,No Cloud,0
2,Night,Climb,Unknown,Unknown,Unknown bird,Unknown,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
2,Day,Approach,"501-1,500 ft",0-5 NM,Bald eagle,Large,1,A,4.0,D,2.0,ASW,LA,No Cloud,0
2,Night,Landing Roll,0-500 ft,0 NM,Western cattle egret,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
2,Day,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,C,4.0,AWP,HI,Some Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,White-tailed deer,Large,1,A,2.0,C,1.0,ASO,GA,Some Cloud,1
2,Day,Landing Roll,0-500 ft,0 NM,Killdeer,Small,1,A,4.0,D,2.0,ASO,NC,Overcast,0
2,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,TN,No Cloud,0
2,Day,Approach,0-500 ft,Unknown,Red-winged blackbird,Small,11-100,A,4.0,D,2.0,ACE,IA,Some Cloud,0
2,Day,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,AR,Some Cloud,0
2,Day,Climb,Unknown,Unknown,Tree swallow,Small,1,A,4.0,D,2.0,ASO,FL,Unknown,0
2,Dusk,Approach,0-500 ft,0-5 NM,Western kingbird,Small,1,A,2.0,C,2.0,ANM,OR,No Cloud,0
2,Night,Approach,"1,501-3,500 ft",0-5 NM,Canada goose,Large,1,A,4.0,D,2.0,AEA,NY,Overcast,1
2,Dawn,Landing Roll,0-500 ft,0 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
2,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird - medium,Medium,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
2,Night,Approach,0-500 ft,0-5 NM,Canada goose,Large,2-10,A,3.0,D,2.0,AWP,CA,No Cloud,1
2,Night,Approach,Unknown,Unknown,Green-winged teal,Small,1,A,4.0,D,2.0,AWP,CA,No Cloud,1
2,Day,Landing Roll,0-500 ft,0 NM,Killdeer,Small,1,A,4.0,D,2.0,AGL,OH,Overcast,0
2,Dawn,Take-off Run,0-500 ft,0 NM,Gulls,Medium,1,A,2.0,D,2.0,ANM,WA,Overcast,0
2,Night,Descent,"3,501-10,000 ft",20-50 NM,Unknown bird,Unknown,1,A,4.0,D,3.0,AWP,CA,No Cloud,0
2,Day,Approach,"501-1,500 ft",0-5 NM,Hawks,Medium,1,A,1.0,A,1.0,ANE,MA,Overcast,0
2,Night,Landing Roll,0-500 ft,0 NM,Common gray fox,Large,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
2,Day,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
2,Day,Approach,Unknown,5-20 NM,Unknown bird,Unknown,1,A,3.0,D,2.0,ASW,TX,No Cloud,0
2,Day,Take-off Run,0-500 ft,0 NM,Western meadowlark,Small,1,A,3.0,D,2.0,AWP,CA,Some Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,American kestrel,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,American robin,Small,2-10,A,4.0,D,2.0,ANM,WA,No Cloud,0
3,Night,Approach,Unknown,Unknown,Mallard,Medium,1,A,4.0,D,2.0,AGL,MI,Some Cloud,0
3,Night,Approach,"1,501-3,500 ft",0-5 NM,Great blue heron,Large,1,A,4.0,D,2.0,ASO,GA,Some Cloud,0
3,Night,Approach,Unknown,Unknown,Horned lark,Small,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
