category,total_count,damage_count,damage_rate,overall_damage_rate,risk_lift,min_count_pass
African silverbill,5,0,0.0,0.07093090993825003,0.0,False
American avocet,5,0,0.0,0.07093090993825003,0.0,False
Black skimmer,5,0,0.0,0.07093090993825003,0.0,False
Black tern,5,0,0.0,0.07093090993825003,0.0,False
Eastern cottontail,5,0,0.0,0.07093090993825003,0.0,False
Field sparrow,5,0,0.0,0.07093090993825003,0.0,False
Hammond's flycatcher,5,0,0.0,0.07093090993825003,0.0,False
Lazuli bunting,5,0,0.0,0.07093090993825003,0.0,False
Little blue heron,5,0,0.0,0.07093090993825003,0.0,False
Orchard oriole,5,0,0.0,0.07093090993825003,0.0,False
Pallas's mastiff bat,5,0,0.0,0.07093090993825003,0.0,False
Pied-billed grebe,5,0,0.0,0.07093090993825003,0.0,False
Saffron finch,5,0,0.0,0.07093090993825003,0.0,False
Say's phoebe,5,0,0.0,0.07093090993825003,0.0,False
Barred owl,4,0,0.0,0.07093090993825003,0.0,False
